user_id,screen_name,x_coord,y_coord
237,Alinish,30.78538019,64.99677886
238,alishaprilia,14.53639071,76.10648349
239,AlisonnSilva,19.69994627,-28.26753727
240,AlisynGayle,-31.75979573,-54.80478263
241,alitalitha,44.9249974,87.83054026
242,alittse,26.09162456,83.91832891
243,alixFTW,1.595285923,-60.0826899
244,aliya_leigh,-62.95918817,-29.24523082
245,All4win,39.91080763,77.57335786
246,Alla_Aoki,33.49907397,-33.18360784
247,alladream_jg,21.20318104,-36.39097287
248,allanschoenberg,-38.43841673,-61.61966438
249,Alleycat17,19.51271902,-36.75859204
250,alleyoop282,-60.7165316,-5.464089317
251,alleyykatt,-6.609140796,23.14979519
252,alliekeith,33.91765351,11.61313246
253,AllJerseyShore,44.96103683,-10.90962892
254,allsportsplus,35.11539584,-2.286641555
255,alltop_sports,54.46647741,-15.67688757
256,AlmightyOtter,-33.65407169,19.72822486
257,almiradesti,28.77798557,88.41177384
258,almostkind27,26.37571046,-57.07250788
259,AlmostmichaelSB,-18.28371402,4.920682151
260,AloeCentral,16.55020638,-83.5504875
261,altenergyinfo,-74.61725358,-21.02985744
262,Aluciel,20.28790018,-68.45960126
263,alvianyw,14.72880384,74.98635648
264,alvinoetama,20.4774761,85.24505133
265,alwaesboo,-22.74770272,31.34693331
266,AlWoods,17.64885718,-60.04476187
267,alyndroy,34.46153585,70.69835419
268,alysA_iS_herE,-30.25593204,-64.60147495
269,amalinamiyuki,29.7711964,-56.8231243
270,amallison2,-44.31729138,-33.75527018
271,amalpaca,15.11105432,-36.9982787
272,Amanda_Wen,33.47676475,-72.65782107
273,amandamaddam,45.25222314,73.79913672
274,AmandaOMGLOL,-10.53656224,-0.314896711
275,amandatyson,49.32820676,-32.86780524
276,amanimoney,-47.02700246,26.59822098
277,AMaryHenderson,9.888248454,-31.54764049
278,amayaroxii,57.7248088,-32.00448057
279,amayazarranz,27.19766233,76.84079541
280,Amazonkindle1,41.33256523,8.830766443
281,AmberKane,-52.66523824,-29.37347122
282,amberrenee922,14.40290034,-78.36630058
283,ambrosinShitrit,40.14256493,6.213849548
284,AmbrrLou,-7.047648758,5.896498526
285,AmDiabetesAssn,-39.46509882,24.18222181
286,Ameeee,16.31599101,-70.70271348
287,amehra120,-63.81268461,-20.3516909
288,amekins,16.28220938,-35.04230737
289,AmericanOutlaws,-35.18628632,-60.23669021
290,AmericasTop10,-42.82455224,-66.61340664
291,AmirahArzami,41.92150361,-36.1687423
292,amorlahoz,27.80684185,16.06774511
293,amoz1939,56.66210485,-34.8134631
